"words","class","group","rooms","comments"
"the | את","ARTICLE","1","",""
"a","ARTICLE","2","",""
"an","ARTICLE","3","",""
"el","ARTICLE","4","",""
"la","ARTICLE","5","",""
"los","ARTICLE","6","",""
"and","CONJUNCTION","50","",""
"or | או","CONJUNCTION","51","",""
"nor | לא","CONJUNCTION","52","",""
"if | אם","CONJUNCTION","54","",""
"but | אבל","CONJUNCTION","55","",""
"it | זה","PRONOUN","100","",""
"this | זה","PRONOUN","101","",""
"these | אלה","PRONOUN","102","",""
"that | הוא","PRONOUN","103","",""
"those | אלו","PRONOUN","104","",""
"them | אותם","PRONOUN","105","",""
"themselves | עצמם","PRONOUN","106","",""
"him | אותו","PRONOUN","107","",""
"himself | עצמו","PRONOUN","108","",""
"her | אותה","PRONOUN","109","",""
"herself | עצמה","PRONOUN","110","",""
"i | me | myself | אני | עצמי","NOUN","111","",""
"he | הוא","NOUN","112","",""
"she | היא","NOUN","113","",""
"they | הם","NOUN","114","",""
"ya | you | אתה","NOUN","115","",""
"yourself | עצמך","NOUN","116","",""
"we | אנחנו","NOUN","117","",""
"us | אותנו","NOUN","118","",""
"ourselves | עצמנו","NOUN","119","",""
"until | עד","ASSOCIATION","150","",""
"while | בזמן","ASSOCIATION","151","",""
"with","ASSOCIATION","152","",""
"without | ללא","ASSOCIATION","153","",""
"for | עבור","ASSOCIATION","154","",""
"about","ASSOCIATION","155","",""
"to | אל | עם | לאיש | לאישה | לעז | לתיש | לתייש","PREPOSITION","200","",""
"from | מן","PREPOSITION","201","",""
"at | אצל","PREPOSITION","202","",""
"on | upon","PREPOSITION","203","",""
"onto","PREPOSITION","204","",""
"off | הרחק","PREPOSITION","205","",""
"in | inside | into | בתוך | בפנים | לתוך","PREPOSITION","206","",""
"out | outer | outside","PREPOSITION","207","",""
"below | beneath | under | underneath","PREPOSITION","208","",""
"between | בין","PREPOSITION","209","",""
"across | לעבר","PREPOSITION","210","",""
"above | over | על | מעל","PREPOSITION","211","",""
"through | דרך","PREPOSITION","212","",""
"behind | אחרי","PREPOSITION | NOUN","213","",""
"ahead | קדימה","PREPOSITION","214","",""
"back | אחורה","PREPOSITION | ADJECTIVE | NOUN | IMPERATIVE_VERB","215","",""
"front | חזית","PREPOSITION | ADJECTIVE | NOUN","216","",""
"around | סביב | מסביב","PREPOSITION","217","",""
"here | כאן","PREPOSITION","218","",""
"there | שם","PREPOSITION","219","",""
"everywhere","PREPOSITION","220","",""
"nowhere","PREPOSITION","221","",""
"somewhere | איפשהו","PREPOSITION","222","",""
"forward | קדימה","PREPOSITION","223","",""
"backward | אחורה","PREPOSITION","224","",""
"toward | לכיוון","PREPOSITION","225","",""
"by","PREPOSITION","226","",""
"of | של","PREPOSITION","229","",""
"how | איך","ADVERB","300","",""
"where | איפה","ADVERB","301","",""
"when | מתי","ADVERB","302","",""
"why | למה","ADVERB","303","",""
"what | which | מה","ADVERB","304","",""
"who | מי","ADVERB","305","",""
"soon | בקרוב","ADVERB","306","",""
"sooner","ADVERB","307","",""
"soonest","ADVERB","308","",""
"now | עכשיו","ADVERB","309","",""
"late | מאוחר","ADVERB","310","",""
"later","ADVERB","311","",""
"latest","ADVERB","312","",""
"normal | נורמלי","ADVERB","315","",""
"abnormal | strange | מוזר","ADVERB","316","",""
"so | כך","ADVERB","317","",""
"again | שוב","ADVERB","318","",""
"always | תמיד","ADVERB","319","",""
"never","ADVERB","320","",""
"then | אז","ADVERB","321","",""
"up | למעלה","ADVERB","322","",""
"down | למטה","ADVERB","323","",""
"together | ביחד","ADVERB","324","",""
"please | בבקשה","ADVERB","325","",""
"away | הרחק","ADVERB","326","",""
"along | לאורך","ADVERB","327","",""
"overboard","ADVERB","328","",""
"not | לא","ADVERB","329","",""
"almost | כמעט","ADVERB","330","",""
"affirmative | aye | certainly | ok | roger | sure | y | yea | yeah | yep | yes | כן | אישור","ADVERB | NOUN","331","",""
"n | nay | negative | no | nope | לא | שלילה","ADVERB","332","",""
"dunno | maybe | possibly | probably | אולי | כנראה","ADVERB","333","",""
"do | לעשות","INDICATIVE_VERB","400","",""
"did | עשה","INDICATIVE_VERB","401","",""
"does | עושה","NOUN | INDICATIVE_VERB","402","",""
"be | להיות","INDICATIVE_VERB","403","",""
"are | is | wheres | youre | היה","INDICATIVE_VERB","404","",""
"am | im | אני","INDICATIVE_VERB","405","",""
"was | הייתי","INDICATIVE_VERB","407","",""
"can | דודקן","NOUN | INDICATIVE_VERB","408","",""
"will | יעשה","NOUN | INDICATIVE_VERB","409","",""
"would | היה","INDICATIVE_VERB","410","",""
"go | ללכת","INDICATIVE_VERB","411","",""
"cease | stop | להפסיק","INDICATIVE_VERB","412","",""
"begin | start | להתחיל","INDICATIVE_VERB","413","",""
"say | להגיד | לומר","INDICATIVE_VERB","414","",""
"says | אומר","INDICATIVE_VERB","415","",""
"said | אמר","INDICATIVE_VERB","416","",""
"have | יש","INDICATIVE_VERB","417","",""
"has | יש","INDICATIVE_VERB","418","",""
"had | היה","INDICATIVE_VERB","419","",""
"tell | לרות","INDICATIVE_VERB","420","",""
"use | להשתמש | להפעיל","INDICATIVE_VERB","421","",""
"holler | scream | shout | yell | צעק","INDICATIVE_VERB","422","",""
"look | להסתכל | לראות | להביט","IMPERATIVE_VERB","450","",""
"open | לפתוח | לפצח","IMPERATIVE_VERB","451","",""
"close | לסגור","IMPERATIVE_VERB","452","",""
