"words","class","group","rooms","comments"
"the | את","ARTICLE","1","",""
"a","ARTICLE","2","",""
"an","ARTICLE","3","",""
"el","ARTICLE","4","",""
"la","ARTICLE","5","",""
"los","ARTICLE","6","",""
"and | גם","CONJUNCTION","50","",""
"or | או | לחלופין","CONJUNCTION","51","",""
"nor","CONJUNCTION","52","",""
"if | אם","CONJUNCTION","54","",""
"but | אבל | אך","CONJUNCTION","55","",""
"it | זה","PRONOUN","100","",""
"this | זאת","PRONOUN","101","",""
"these | אלה | אלו","PRONOUN","102","",""
"that | ההוא | ההיא | אשר","PRONOUN","103","",""
"those | ההם | ההן","PRONOUN","104","",""
"them | אותם | אותן | להם","PRONOUN","105","",""
"themselves | עצמם | עצמן","PRONOUN","106","",""
"him | אותו | לו","PRONOUN","107","",""
"himself | בעצמו","PRONOUN","108","",""
"her | אותה | לה","PRONOUN","109","",""
"herself | בעצמה","PRONOUN","110","",""
"i | me | myself | אני | אותי","NOUN","111","",""
"he | הוא","NOUN","112","",""
"she | היא","NOUN","113","",""
"they | הם | הן","NOUN","114","",""
"ya | you | אתה | אתם | אתן | אותך","NOUN","115","",""
"yourself | בעצמך","NOUN","116","",""
"we | אנחנו | אנו","NOUN","117","",""
"us | אותנו | לנו","NOUN","118","",""
"ourselves | עצמנו","NOUN","119","",""
"until | עד","ASSOCIATION","150","",""
"while | בזמן | בעוד","ASSOCIATION","151","",""
"with | עם | באמצעות","ASSOCIATION","152","",""
"without | בלי | ללא","ASSOCIATION","153","",""
"for | עבור | בשביל | למען","ASSOCIATION","154","",""
"about | אודות | בערך | בקשר | על","ASSOCIATION","155","",""
"to | אל","PREPOSITION","200","",""
"from | מאת","PREPOSITION","201","",""
"at","PREPOSITION","202","",""
"on | upon","PREPOSITION","203","",""
"onto","PREPOSITION","204","",""
"off","PREPOSITION","205","",""
"in | inside | into | בתוך | פנימה | לתוך","PREPOSITION","206","",""
"out | outer | outside | מחוץ | החוצה | חיצוני","PREPOSITION","207","",""
"below | beneath | under | underneath | מתחת | תחת","PREPOSITION","208","",""
"between | בין | בתווך","PREPOSITION","209","",""
"across | לרוחב","PREPOSITION","210","",""
"above | over | מעל","PREPOSITION","211","",""
"through","PREPOSITION","212","",""
"behind | מאחורי | מאחור","PREPOSITION | NOUN","213","",""
"ahead | קדימה","PREPOSITION","214","",""
"back | חזרה","PREPOSITION | NOUN | IMPERATIVE_VERB","215","",""
"front | חזית","PREPOSITION","216","",""
"around | סביב | מסביב","PREPOSITION","217","",""
"here | כאן | פה","PREPOSITION","218","",""
"there","PREPOSITION","219","",""
"everywhere","PREPOSITION","220","",""
"nowhere","PREPOSITION","221","",""
"somewhere","PREPOSITION","222","",""
"forward | מקדימה","PREPOSITION","223","",""
"backward | אחורה | לאחור","PREPOSITION","224","",""
"toward | לעבר | כלפי","PREPOSITION","225","",""
"by | ליד","PREPOSITION","226","",""
"near | קרוב | סמוך","PREPOSITION","227","",""
"far | רחוק | מרוחק","PREPOSITION","228","",""
"of | של | מ","PREPOSITION","229","",""
"how | איך | כיצד","ADVERB","300","",""
"where | איפה | היכן","ADVERB","301","",""
"when | מתי | כאשר","ADVERB","302","",""
"why | למה | מדוע","ADVERB","303","",""
"what | מה | איזה","ADVERB","304","",""
"who | מי","ADVERB","305","",""
"soon | בקרוב | במהרה","ADVERB","306","",""
"sooner","ADVERB","307","",""
"soonest","ADVERB","308","",""
"now | עכשיו | כעת","ADVERB","309","",""
"late | מאוחר","ADVERB","310","",""
"later","ADVERB","311","",""
"latest | האחרון","ADVERB","312","",""
"fast | quick | quickly | speedy | מהיר | במהירות | זריז","ADVERB","313","",""
"slow | slowly | sluggishly | איטי | לאט | באיטיות","ADVERB","314","",""
"normal | רגיל | נורמלי","ADVERB","315","",""
"abnormal | strange | חריג","ADVERB","316","",""
"so | לכן | כך","ADVERB","317","",""
"again | שוב | מחדש","ADVERB","318","",""
"always | תמיד","ADVERB","319","",""
"never | לעולם","ADVERB","320","",""
"then | אז","ADVERB","321","",""
"up | למעלה | מעלה","ADVERB","322","",""
"down | למטה","ADVERB","323","",""
"together | יחד | ביחד | במשותף","ADVERB","324","",""
"please | בבקשה | אנא","ADVERB","325","",""
"away | הרחק | הלאה","ADVERB","326","",""
"along | לאורך","ADVERB","327","",""
"overboard | מופרז","ADVERB","328","",""
"not | אינו","ADVERB","329","",""
"almost | כמעט | בקירוב","ADVERB","330","",""
"affirmative | aye | certainly | ok | roger | sure | y | yep | yes | כן | בהחלט | בטח","ADVERB | NOUN","331","",""
"n | nay | negative | no | nope | לא | שלילה | מסרב","ADVERB","332","",""
"dunno | maybe | possibly | probably | אולי | ייתכן | כנראה","ADVERB","333","",""
"do | בצע","INDICATIVE_VERB","400","",""
"did | עשו | עשית","INDICATIVE_VERB","401","",""
"does | עושה | תעשה","NOUN | INDICATIVE_VERB","402","",""
"be | להיות | תהיה","INDICATIVE_VERB","403","",""
"are | is | wheres | youre","INDICATIVE_VERB","404","",""
"am | im | הנני","INDICATIVE_VERB","405","",""
"was | היה | הייתה | הייתי","INDICATIVE_VERB","407","",""
"can | יכול | מסוגל | פחית","NOUN | INDICATIVE_VERB","408","",""
"will | ירצה | עתיד | רצון","NOUN | INDICATIVE_VERB","409","",""
"would","INDICATIVE_VERB","410","",""
"go | לך | תלך","INDICATIVE_VERB","411","",""
