resource,noun,verb,condition,sequence,talker,refNoun,refVerb,refCond,en,he,comments
1,1,0,0,1,99,82,68,95,Introduction,מבוא,אולי: מבוא
1,1,0,0,2,99,29,146,34,Start New Hero,התחלת גיבור חדש,התחלת גיבור חדש
1,1,0,0,3,99,27,5,0,Restore Game,שחזור משחק,שחזור משחק
1,1,0,0,4,99,27,46,27,Go to Town,לך העירה,
1,1,0,0,5,99,0,5,27,Continue Normally,המשך כרגיל,המשך כרגיל
1,1,0,1,1,99,116,101,114,"Where to, Hero?    ","לאן פניך, גיבור?","אולי: לאן פניך, גיבור?"
10,1,4,0,1,99,0,114,115,Your hunger has been totally satisfied.  You don't need another piece of fruit.,רעבונך סופק לחלוטין. אינך צריך עוד פרי.,
10,1,4,0,2,99,32,115,119,The fruit is very soft and juicy. It would be impossible to keep in your pack.,הפרי מאוד רך ועסיסי. בלתי אפשרי לאחסן אותו בין מטלטליך.,
10,2,1,1,1,99,111,117,108,The stone has been moved.,האבן הוזזה ממקומה.,
10,2,1,2,1,99,69,108,115,The large stone appears to be ancient and deliberately placed.  Marks carved into the stone almost look like writing.,האבן נראית עתיקה וממוקמת בכוונה במקומה. הסימנים המעטרים את האבן נראים כמעט כמו כתובת.,אולי: כתובת
10,2,1,3,1,99,116,116,101,"In a hole, hidden beneath the ancient stone, someone has placed a scroll.","בתוך גומחה, החבויה תחת האבן העתיקה, הוטמנה מגילה.",
10,2,1,3,2,99,32,32,73,You took the scroll.,לקחת את המגילה.,
10,2,1,4,1,99,109,101,32,"The stone has the words ""Erana's Peace"" carved upon the top.  There are some runes carved along the side. ","על פני האבן נכתב: ""מנוחת אראנה"". ישנן גם רונות החרוטות בצד האבן.",
10,2,1,5,1,99,114,115,32,"It reads:  ""If thy Will is Magic, so shall I share.  Open this Stone and claim what is there.""","כתוב: ""אם רצונך בקסם, אגלה כך. פתח את האבן. אסוף מה שנשכח.""",כתוב במקום הכתוב
10,2,4,1,1,99,32,104,101,The hole that was beneath the stone is empty.,הגומחה שהיתה תחת האבן ריקה.,
10,2,4,2,1,99,32,119,105,No amount of physical effort will be able to move this stone.,ככל שתנסה לא תוכל להזיז את האבן הזו באמצעות מאמץ גופני.,
10,3,0,6,1,99,98,114,105,The grasses in the meadow are covered over with flowers.,העשב שבאחו מכוסה כולו בפרחים.,
10,3,0,7,1,99,97,110,100,All kinds of colorful and fragrant flowers and grasses cover the meadow.,"עשבים ופרחים שונים, צבעוניים וריחניים, מכסים את האחו.",
10,3,0,8,1,99,111,115,101,The meadow is an oasis at the edge of the snowline.  The rocky hillside looks very steep and slippery.,האחו הוא נווה מדבר בקצה קו השלג. צד הגבעה הסלעי נדמה תלול מאוד וחלקלק.,
10,3,4,10,1,99,114,32,119,You have all the flowers you need.,אספת את כל הפרחים שאתה צריך.,
10,3,4,11,1,99,101,118,101,"As you pick a variety of the sweet-smelling flowers, they seem to glow in your hands.  You put them safely away.","כאשר אתה קוטף ממגוון הפרחים בעלי הריח המתוק, דומה שהם זורחים בתוך ידיך. אתה מניח אותם בזהירות במטלטליך.",
10,3,4,12,1,99,46,34,0,"You take another handful of the lovely, fragrant flowers.",אתה אוסף חופן נוסף של פרחים יפים וריחניים.,
10,3,50,0,1,99,3,4,195,"This entire area is magical.  In particular, the fruit on the tree radiates magic, and you sense that a spell has been placed on the large stone.  All of the magic has a warm, nurturing feel to it.",האיזור מלא כולו בקסם. הפירות על העץ קורנים מקסם ואתה חש שהוטל גם קסם על האבן הגדולה. אתה חש שהקסם באיזור נותן תחושה חמימה ומגוננת.,
10,3,80,9,1,99,73,32,99,The very air in this meadow radiates feelings of calmness and peace.  You wouldn't be able to tell if the spell worked here.,אפילו האוויר באחו מקרין תחושות של רוגע ושקט. אתה לא תוכל לדעת אם הקסם הזה עבד כאן.,עבד במקום הוטל
10,3,81,9,1,99,32,98,114,You can't imagine hurting anything in this meadow.,אינך יכול לדמיין פגיעה באחו הזה.,
10,4,1,0,1,99,32,115,112,The sky is clear.,השמיים בהירים.,
10,4,1,13,1,99,104,101,114,The sun feels warm.,השמש חמימה.,
10,4,1,14,1,99,111,117,108,The stars shine.,הכוכבים זורחים.,
10,5,1,15,1,99,118,101,32,"To the north, the high, snowy peaks of the Dragon Smoke mountains are clearly visible.",בצפון אתה רואה בבירור את הפסגות המושלגות והגבוהות של הרי עשן הדרקון.,
10,5,1,16,1,99,103,114,111,"You are at the snowline.  All around you, except for the forest, the rocks and mountains glisten with slippery snow.",אתה בקו השלג. מלבד היער אתה רואה סביבך את הסלעים וההרים מבהיקים בשלג חלקלק.,
10,5,4,0,1,99,116,111,32,The rock faces are slippery with melted snow.,פני הסלעים חלקלקים משלג שנמס.,
10,6,0,0,1,99,97,99,116,You sleep comfortably among the fragrant flowers.,אתה נם בנוחות בינות לפרחים הריחניים.,
10,6,0,0,2,99,97,110,32,"The sweet, juicy fruit of the tree is amazingly satisfying and refreshing.",פרי העץ המתוק והעסיסי מרענן ומשביע במיוחד.,
10,6,0,0,3,99,100,101,100,"The scroll vanishes even as you read the magical runes upon it.   You now have the knowledge to cast a ""Calm"" spell.","המגילה נעלמת תוך כדי שאתה קורא את הרונות שעליה. כעת אתה יודע להטיל את הקסם ""מרגוע"".",
10,6,0,17,1,99,117,101,115,"The meadow lies covered with a blanket of flowers, unusual for this early in the spring.  It is warm, even though surrounded by the late snows of winter. ","האחו מכוסה במעטה של פרחים, זהו מחזה נדיר בשלב כה מוקדם של האביב. חמים ונעים לך, על אף שסביבך שורקות רוחות החורף.",
10,6,0,17,2,99,111,117,110,"A large, carved stone lies flat on the ground.  You feel as though someone gentle was watching over you.  You feel that you are safe here.   ",אבן כבירה ומעוטרת מונחת על האדמה. אתה חש ישות עדינה הצופה בך. אתה חש שאתה בטוח כאן.,
10,6,0,17,3,99,0,4,183,"The air has the fresh, clean scent of the mountains, accompanied by numerous perfume-like fragrances.    ","לאוויר כאן יש ניחוח רענן ונקי של אוויר הרים, והוא מלווה בניחוחות בשומים.",
10,6,50,0,1,99,0,0,0,There is an aura of magic throughout this meadow.  It seems to be benevolent and restorative.,יש הילה של קסם בכל האחו. אתה חש שהקסם הוא מיטיב ומחייה.,
10,6,51,0,1,99,105,103,97,There is no further purpose in casting the Open spell.,אין עוד טעם להטיל כאן את קסם הפתיחה.,
10,6,52,0,1,99,100,32,116,You just can't sleep during the daytime.,אתה לא מצליח לישון. אתה עירני מדי בזמן היום.,
10,7,1,0,1,99,97,32,103,"The tree's blossoms are soft, green and fragrant.","התפרחות שעל העץ הן רכות, ירוקות וריחניות.",ריחניות במקום ריחוניות
10,7,1,13,1,99,97,110,100,"The fruit sparkles in the sunlight, yet it appears soft and fuzzy.",הפרי מנצנץ באור השמש ונראה רך וצמרירי.,
10,7,1,14,1,99,111,110,39,The fruit glows and shimmers in the moonlight.  It produces a fragrance like a sun-ripened strawberry.,הפרי זורח ומנצנץ באור הירח. נובע ממנו ניחוח של תות שדה שהבשיל באור השמש.,
10,8,1,0,1,99,100,103,101,"The small tree is most amazing.  It bears blossoms and fruit at the same time, and the fruit on its boughs seems to shyly appear and disappear, shimmering.",העץ הקטן נראה מדהים. הוא נושא עליו גם פריחה וגם פירות באותו זמן. נראה שהפירות מנצנצים - מופיעים ונעלמים. ,
10,8,4,0,1,99,100,32,116,There is no need to climb the little tree.,אין צורך לטפס על העץ הקטן.,
103,1,0,0,1,99,29,4,0,You pick up a few small rocks.,אתה מרים מספר אבנים קטנות.,
