"words","class","group","rooms","comments"
"the | את","ARTICLE","1","",""
"a | אחד | משהו","ARTICLE","2","",""
"an | אחת | איזה | אחר","ARTICLE","3","",""
"el","ARTICLE","4","",""
"la","ARTICLE","5","",""
"los","ARTICLE","6","",""
"and | וגם | בנוסף","CONJUNCTION","50","",""
"or | או | לחלופין","CONJUNCTION","51","",""
"nor","CONJUNCTION","52","",""
"if | אם","CONJUNCTION","54","",""
"but | אבל | אך","CONJUNCTION","55","",""
"it | הוא | היא | אותו | אותה | זה | הם","PRONOUN","100","",""
"this | זאת","PRONOUN","101","",""
"these | אלה | אלו","PRONOUN","102","",""
"that | ההוא | ההיא | אשר","PRONOUN","103","",""
"those | ההם | ההן","PRONOUN","104","",""
"them | אותם | אותן | להם","PRONOUN","105","",""
"themselves | עצמם | עצמן","PRONOUN","106","",""
"him | לו","PRONOUN","107","",""
"himself | בעצמו","PRONOUN","108","",""
"her | לה","PRONOUN","109","",""
"herself | בעצמה","PRONOUN","110","",""
"i | me | myself | אני | רוזלה | עצמי","NOUN","111","",""
"he","NOUN","112","",""
"she","NOUN","113","",""
"they | הן","NOUN","114","",""
"ya | you | אתה | אתם","NOUN","115","",""
"yourself | בעצמך","NOUN","116","",""
"we | אנחנו | אנו","NOUN","117","",""
"us | אותנו | לנו","NOUN","118","",""
"ourselves | עצמנו","NOUN","119","",""
"until | עד","ASSOCIATION","150","",""
"while | בזמן | בעוד","ASSOCIATION","151","",""
"with | עם | אצל | יחד","ASSOCIATION","152","",""
"without | בלי | ללא","ASSOCIATION","153","",""
"for | בשביל | עבור | למען","ASSOCIATION","154","",""
"about | אודות | בערך | בקשר","ASSOCIATION","155","",""
"to | לקראת","PREPOSITION","200","",""
"from | מ | מן | מאת","PREPOSITION","201","",""
"at | ליד | ב","PREPOSITION","202","",""
"on | upon | על | גבי","PREPOSITION","203","",""
"onto | לעבר","PREPOSITION","204","",""
"off | מכובה | כבוי","PREPOSITION","205","",""
"in | inside | into | בתוך | לתוך | פנימה","PREPOSITION","206","",""
"out | outer | outside | החוצה | בחוץ | מחוץ","PREPOSITION","207","",""
"below | beneath | under | underneath | מתחת | תחת","PREPOSITION","208","",""
"between | בין | בתווך","PREPOSITION","209","",""
"across | לרוחב","PREPOSITION","210","",""
"above | over | מעליו | גבוה","PREPOSITION","211","",""
"through | דרך | מבעד","PREPOSITION","212","",""
"behind | מאחורי | אחרי | מעבר","PREPOSITION | NOUN","213","",""
"ahead | קדימה","PREPOSITION","214","",""
"back | אחורה | חזרה | גב","PREPOSITION | ADJECTIVE | NOUN | IMPERATIVE_VERB","215","",""
"front | חזית","PREPOSITION | ADJECTIVE | NOUN","216","",""
"around | מסביב | סביב","PREPOSITION","217","",""
"here | כאן | במקום","PREPOSITION","218","",""
"there","PREPOSITION","219","",""
"everywhere","PREPOSITION","220","",""
"nowhere","PREPOSITION","221","",""
"somewhere","PREPOSITION","222","",""
"forward | מקדימה","PREPOSITION","223","",""
"backward | לאחור","PREPOSITION","224","",""
"toward | אל | כלפי","PREPOSITION","225","",""
"by | באמצעות","PREPOSITION","226","",""
"of | של | שייך | קשור","PREPOSITION","229","",""
"how | איך | מה | למה","ADVERB","300","",""
"where | איפה | היכן","ADVERB","301","",""
"when | מתי | כאשר | בעת","ADVERB","302","",""
"why | מדוע","ADVERB","303","",""
"what | which","ADVERB","304","",""
"who | מי","ADVERB","305","",""
"soon | בקרוב | במהרה","ADVERB","306","",""
"sooner","ADVERB","307","",""
"soonest","ADVERB","308","",""
"now | עכשיו | כעת","ADVERB","309","",""
"late | מאוחר","ADVERB","310","",""
"later","ADVERB","311","",""
"latest | האחרון","ADVERB","312","",""
"normal | רגיל | נורמלי","ADVERB","315","",""
"abnormal | strange | חריג","ADVERB","316","",""
"so | לכן | כך","ADVERB","317","",""
"again | שוב | מחדש","ADVERB","318","",""
"always | תמיד","ADVERB","319","",""
"never | לעולם","ADVERB","320","",""
"then | אז","ADVERB","321","",""
"up | למעלה | מעלה","ADVERB","322","",""
"down | למטה | מטרה","ADVERB","323","",""
"together | ביחד | במשותף","ADVERB","324","",""
"please | בבקשה | אנא","ADVERB","325","",""
"away | הרחק | משם | רחוק","ADVERB","326","",""
"along | לאורך | בצד","ADVERB","327","",""
"overboard | מופרז","ADVERB","328","",""
"not | אינו","ADVERB","329","",""
"almost | כמעט | בקירוב","ADVERB","330","",""
"affirmative | aye | certainly | ok | roger | sure | y | yea | yeah | yep | yes | כן | בהחלט | בטח","ADVERB | NOUN","331","",""
"n | nay | negative | no | nope | לא | שלילה | מסרב","ADVERB","332","",""
